accepted_name,accepted_name_rank,accepted_family,R1A,R22,both,status,redlist_germany,accepted_name_url,growth_form,sla,height,seedmass
Erica carnea,species,Ericaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332092-2,subshrub,NA,NA,8e-5
Erigeron annuus,species,Asteraceae,0,0,0,N,nb,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203539-1,forb,280.65,0.694,5.2e-5
Euphorbia cyparissias,species,Euphorbiaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1,forb,225.7,0.175,0.001868
Euphorbia verrucosa,species,Euphorbiaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:348671-1,NA,276.6,0.4,NA
Euphrasia micrantha,species,Orobanchaceae,0,0,0,I,2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802686-1,forb,NA,0.25,NA
Euphrasia officinalis,species,Orobanchaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802732-1,herb,172.93,0.221,1.88666666666667e-4
Euphrasia picta,species,Orobanchaceae,0,0,0,I,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802764-1,NA,NA,NA,NA
Festuca rubra,species,Poaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30010036-2,NA,193.57,0.431,0.006072465875
Festuca rupicola,species,Poaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403454-1,graminoid,NA,0.325,5.35e-4
Filipendula vulgaris,species,Rosaceae,1,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1,forb,183.94,0.325,8.10952333333333e-4
Fragaria viridis,species,Rosaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2,herb,170.5,0.062,3.75e-4
Fraxinus excelsior,species,Oleaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609009-1,tree,136.51,28.6,0.064259159
Galium boreale,species,Rubiaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749626-1,NA,194.11,0.6135,6.53833333333333e-4
Galium mollugo,species,Rubiaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,NA,268.76,0.7,7.055e-4
Galium pumilum,species,Rubiaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1,NA,386.7,0.281,4.29e-4
Galium verrucosum,species,Rubiaceae,0,0,0,N,nb,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177145-1,forb,194.7,0.103,0.015488
Galium verum,species,Rubiaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1,NA,207.87,0.383,0.015347225
Genista tinctoria,species,Fabaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496408-1,shrub,180.82,0.7665,0.0044945
Gentiana verna,species,Gentianaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:369094-1,herb,NA,0.032,7.4e-5
Globularia bisnagarica,species,Plantaginaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813058-1,herb,81.35,0.102,5.95255666666667e-4
Globularia cordifolia,species,Plantaginaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813062-1,herb,NA,0.02,5.555e-4
Gymnadenia conopsea,species,Orchidaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636509-1,forb,176.07,0.3,7e-6
Helianthemum nummularium subsp. obscurum,subspecies,Cistaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251819-1,subshrub,152.8,0.114,0.00100718333333333
Helictochloa pratensis,species,Poaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77113502-1,graminoid,99.76,0.65,0.002312
Helictotrichon pubescens,species,Poaceae,0,0,0,I,*,https://www.worldfloraonline.org/taxon/wfo-0000873950,graminoid,207.42,0.6,0.0017935
Hieracium,genus,Asteraceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330082-2,NA,NA,NA,NA
Hippocrepis comosa,species,Fabaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:498352-1,forb,152.32,0.163,0.0036416665
Hypericum perforatum,species,Hypericaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433719-1,NA,260.64,0.454,1.62254e-4
Hypochaeris maculata,species,Asteraceae,0,0,0,I,2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225539-1,herb,198.7,0.4325,0.0016445
Jacobaea vulgaris,species,Asteraceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226649-1,forb,NA,0.75,2.48667e-4
Knautia arvensis,species,Caprifoliaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319318-1,NA,197.06,0.433,0.0040089
Koeleria macrantha,species,Poaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406615-1,graminoid,118.07,0.2665,4.21871e-4
Koeleria pyramidata,species,Poaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406677-1,graminoid,165.3,0.325,0.0023
Lathyrus tuberosus,species,Fabaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502065-1,forb,297.37,0.555,0.032142
Legousia speculum-veneris,species,Campanulaceae,0,0,0,I,2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457789-2,forb,651.3,0.172,1.94e-4
Leontodon hispidus,species,Asteraceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229358-1,forb,258.01,0.235,0.0011080715
Leontodon incanus,species,Asteraceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229368-1,herb,213.6,0.1,0.001314
Leucanthemum vulgare,species,Asteraceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,NA,192.73,0.50975,8.119666e-4
Linum catharticum,species,Linaceae,2,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544405-1,NA,301.64,0.125,1.53e-4
Linum perenne,species,Linaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544634-1,NA,258.8,0.405666666666667,0.002214608
Lolium arundinaceum,species,Poaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:973267-1,NA,NA,NA,0.001994772
Lotus corniculatus,species,Fabaceae,5,5,5,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30179739-2,NA,278.32,0.42725,0.00106879585714286
Lotus germanicus,species,Fabaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110166-1,subshrub,NA,0.225,0.0024195
Medicago falcata,species,Fabaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506175-1,NA,NA,NA,0.00282875
Medicago lupulina,species,Fabaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1,NA,272.39,0.393333333333333,0.00166047725
Myosotis arvensis,species,Boraginaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:118914-1,NA,293.8,0.265,4.22708333333333e-4
Ophrys apifera,species,Orchidaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:647746-1,forb,196.67,0.15,NA
Origanum vulgare,species,Lamiaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:453395-1,forb,246.73,0.504,9.74666666666667e-5
Orobanche gracilis,species,Orobanchaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662378-1,NA,NA,NA,NA
Papaver rhoeas,species,Papaveraceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306058-2,NA,330.7,0.4035,1.59e-4
Pentanema hirtum,species,Asteraceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178414-1,NA,NA,NA,0.00112
Pentanema salicinum,species,Asteraceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178422-1,forb,NA,NA,4.485e-4
Peucedanum oreoselinum,species,Apiaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:846307-1,herb,162.7,0.5,0.0039685
Phleum phleoides,species,Poaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415866-1,graminoid,175.2,0.3,1.605e-4
Picris hieracioides,species,Asteraceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:237848-1,forb,247.78,0.63075,0.001218
Pilosella officinarum,species,Asteraceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77133566-1,NA,191,0.06,2.18458333333333e-4
Pimpinella saxifraga,species,Apiaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847025-1,forb,157.97,0.413,0.001161375
Plantago lanceolata,species,Plantaginaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321285-2,NA,186.26,0.278333333333333,0.00142481333333333
Plantago media,species,Plantaginaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:685411-1,forb,192.61,0.172,3.475e-4
Platanthera bifolia,species,Orchidaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:651671-1,herb,269.1,0.16,NA
Poa angustifolia,species,Poaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320037-2,herb,155.5,0.36,1.86777666666667e-4
Poa annua,species,Poaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320035-2,NA,364.34,0.125,2.8735e-4
Poa pratensis,species,Poaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1,NA,212.92,0.353333333333333,0.00682161714285714
Polygala amara,species,Polygalaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:691018-1,herb,NA,0.065,0.0013
Polygala amarella,species,Polygalaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:691020-1,herb,205.63,0.054,8.25e-4
Polygala vulgaris,species,Polygalaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:692570-1,forb,183.95,0.084,0.0017677145
Polygaloides chamaebuxus,species,Polygalaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:692612-1,herb,183.94,0.15,0.0085
Polygonatum odoratum,species,Asparagaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:540195-1,herb,328.66,0.3,0.08687766675
Populus nigra,species,Salicaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776790-1,tree,109.4,41.5,8.06666666666667e-4
Populus tremula,species,Salicaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302387-2,tree,145.34,19.87375,1.0964575e-4
Potentilla alba,species,Rosaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324728-2,forb,147.8,0.125,6e-4
Potentilla cinerea,species,Rosaceae,0,0,0,NA,NA,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:727870-1,herb,132.77,0.085,NA
Potentilla verna,species,Rosaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324741-2,forb,125.3,0.092,4.45666666666667e-4
Primula veris,species,Primulaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:702751-1,forb,186.8,0.15,8.6095e-4
Prunella grandiflora,species,Lamiaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60464253-2,herb,201.1,0.132,9.52e-4
Prunus spinosa,species,Rosaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730297-1,NA,143.73,3.976,0.305353235333333
Pulsatilla patens,species,Ranunculaceae,0,0,0,I,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30094592-2,forb,NA,0.225,0.0022905
Pulsatilla vulgaris,species,Ranunculaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:712079-1,herb,100.92,0.15,0.0032188335
Ranunculus bulbosus,species,Ranunculaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:712367-1,forb,181.41,0.2375,0.00238725
Rhamnus cathartica,species,Rhamnaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1,tree,167.06,5.3335,0.0267202733333333
Rhamnus saxatilis,species,Rhamnaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718640-1,shrub,135,0.6048,0.01053
Rhinanthus glacialis,species,Orobanchaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:808763-1,NA,NA,0.35,0.002607
Rhinanthus minor,species,Orobanchaceae,0,1,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30116962-2,forb,198.01,0.379,0.00248229166666667
Rubus,genus,Rosaceae,0,0,0,N,nb,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000199-2,NA,NA,NA,NA
Rubus caesius,species,Rosaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:735608-1,NA,193,0.9875,0.003694625
Rumex acetosa,species,Polygonaceae,0,1,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332105-2,NA,292.06,0.505,0.0746109723333333
Salix eleagnos,species,Salicaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777510-1,tree,NA,9.69066666666667,2.5e-4
Salvia pratensis,species,Lamiaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:457007-1,forb,253.27,0.442,0.0025300835
Salvia verticillata,species,Lamiaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:457502-1,forb,149.7,0.3,9.206665e-4
Sanguisorba minor,species,Rosaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:741394-1,NA,205,0.279,0.005298208375
Scabiosa canescens,species,Caprifoliaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319769-1,herb,98.4,0.2,0.001039
Scabiosa columbaria,species,Caprifoliaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319793-1,forb,192.08,0.3575,0.001968643
Scorzonera purpurea,species,Asteraceae,0,0,0,I,2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:243361-1,herb,NA,0.35,5.44e-4
Sedum acre,species,Crassulaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274996-1,NA,109,0.0585,3.735e-5
Seseli annuum,species,Apiaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:848452-1,herb,NA,NA,NA
Sesleria caerulea,species,Poaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1005554-2,graminoid,192,0.09,0.001598
Silene nutans,species,Caryophyllaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:157927-1,forb,221.87,0.3835,4.02533333333333e-4
Silene vulgaris,species,Caryophyllaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:158668-1,NA,198.7,0.385,8.766876e-4
Tanacetum corymbosum,species,Asteraceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252281-1,forb,174.2,0.675,4.783335e-4
Taraxacum campylodes,species,Asteraceae,0,0,0,NA,NA,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252973-1,forb,NA,NA,NA
Teucrium montanum,species,Lamiaceae,0,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:460563-1,subshrub,179.3,0.2,7.251665e-4
Thesium linophyllon,species,Santalaceae,0,0,0,I,3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780950-1,forb,175.2,0.2,0.0066
Thymus praecox,species,Lamiaceae,1,0,0,NA,NA,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:461536-1,NA,134.04,0.07,1.4866675e-4
Thymus pulegioides,species,Lamiaceae,1,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:461562-1,NA,246.75,0.182,1.51e-4
Trifolium campestre,species,Fabaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:522975-1,NA,270.83,0.288,3.29265e-4
Trifolium dubium,species,Fabaceae,0,1,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523099-1,NA,259.61,0.2375,3.965555e-4
Trifolium medium,species,Fabaceae,0,0,0,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523361-1,forb,206.1,0.4,0.0019450625
Trifolium montanum,species,Fabaceae,1,0,0,I,V,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523419-1,NA,197.48,0.275,8.65e-4
Trifolium pratense,species,Fabaceae,1,1,1,I,*,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523575-1,NA,233.73,0.464333333333333,0.00147925
